0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.04722582,-0.62867236,1.6663272,-1.2882164,-0.1135559,0.7761689,0.13713725,0.43661055,-1.2106178,0.7623405,0.8435031,-0.6506953,-1.6174867,1.1500924,-0.6102066,-1.0065842,0.21994437,-0.721217,0.27260345,-1.6341374,-0.20937507,0.23416956,0.4583473,-0.38251483,-0.7504678,0.809384,-0.2844608,-0.09826344,1.2505357,-0.28109854,0.012170187
0.023616677,-0.7266885,1.5342419,-1.2257612,-0.17664263,0.66846496,-0.21893363,0.17057987,-1.5947473,0.8536505,1.1052212,-0.36829576,-1.2962103,1.3555033,-0.4722335,-0.88910854,0.39181834,-0.89695007,-0.017490253,-1.661099,-0.23794572,0.3477225,0.4980838,-0.5496914,-0.69332737,0.62738365,-0.16314258,-0.25401068,1.0646465,-0.29370648,-0.018591974
-0.014443723,-0.78439975,1.7023576,-1.1009651,-0.042051785,0.8846595,-0.2996589,0.17397213,-1.5566714,0.77438,0.9203837,-0.25242114,-1.2784985,1.4567928,-0.14235166,-1.0111676,0.09474033,-1.1523522,-0.03518235,-1.4758725,-0.17184654,0.27235645,0.4415001,-0.5652886,-0.7746522,0.91512066,-0.04726239,-0.24896371,1.1452887,-0.3481158,0.20173347
0.12426225,-0.92785996,1.7474092,-1.1774578,-0.4155372,0.6651923,-0.16745009,0.23753436,-1.4682811,0.89282465,1.0531487,-0.19553874,-1.2862166,1.1742933,-0.25968152,-0.9089492,0.38077497,-0.8793855,0.046854988,-1.5699931,0.06784859,0.3825083,0.31286106,-0.4654146,-0.6367062,0.47155437,-0.22901046,-0.051554482,1.18895,-0.44394884,0.15264797
0.2457345,-0.86036503,1.7078704,-1.2015175,-0.14875828,0.83953667,-0.17326866,0.19261771,-1.4104679,0.92514104,1.2334751,-0.22023746,-1.2413771,1.3965224,-0.4248631,-0.89615834,0.4306762,-0.9391412,-0.020219449,-1.4071425,0.010723864,0.2752684,0.3481129,-0.5142881,-0.79620713,0.47392714,0.05155466,-0.120911255,0.96059936,-0.42599097,0.19035836
0.059250876,-0.74535984,1.5916953,-1.3342566,-0.35476217,0.795153,0.20488827,0.42525813,-1.2729264,0.9861262,1.1003739,-0.41143674,-1.3521286,1.1201949,-0.4551536,-0.83605766,0.45148754,-0.71288294,0.011835842,-1.6321923,-0.16832839,0.110069945,0.09672973,-0.5149301,-0.60369337,0.62656695,-0.23012225,-0.2107491,1.1267828,-0.76818085,0.11403341
0.105265,-0.69032353,1.7278976,-1.2954724,-0.34560516,0.7522062,-0.12169868,0.35486364,-1.3444291,0.8567644,0.9120179,-0.32817778,-1.374108,1.2309494,-0.29232854,-0.8137409,0.40899712,-0.8646692,-0.05544701,-1.4711533,0.10156529,0.22100559,0.021880409,-0.5766348,-0.5754173,0.6384767,-0.27588922,-0.06787205,1.141218,-0.62531936,0.20051515
0.10962384,-1.0205696,1.7257527,-1.1388397,-0.45698845,0.7856665,0.66592836,0.28317073,-1.4582129,0.9137391,0.6162143,-0.33388275,-1.5642406,0.8794952,-0.6916926,-0.8721074,0.50024605,-0.81325847,0.016637374,-1.4701034,0.07166685,0.29119712,-0.12658831,-0.14576602,-0.85860956,0.49812305,-0.32114246,0.26690808,1.0799713,-0.123995215,-0.12828082
0.029617751,-0.6797494,1.5782788,-1.1665225,-0.1594291,0.8223091,-0.08401601,0.2184461,-1.3076106,0.9762802,1.1269963,-0.40326855,-1.3463737,1.4265331,-0.34502456,-0.6206669,0.23611861,-1.0495799,-0.057630107,-1.5143346,-0.012520085,0.22908668,0.16201362,-0.75194305,-0.56439745,0.84780604,-0.22349556,0.039129246,1.2351145,-0.57743156,0.21698779
0.17386635,-0.5972966,1.4099355,-1.2719533,0.21385792,0.9571113,0.017023304,0.59923935,-1.1161114,1.0459648,1.0998305,-0.5953889,-1.5204891,1.4434158,-0.5278485,-1.0565231,0.12868455,-1.0757464,-0.010510848,-1.518908,-0.45271522,0.37510878,0.21538663,-0.40041536,-0.6912144,0.8291656,0.13669105,-0.21705733,1.1659133,-0.34854543,0.19101448
