0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-0.35796073,-0.014529359,-0.36451167,0.41831684,0.29960474,-1.104876,0.28236786,-1.0190489,0.341519,-0.43812156,-0.47852787,0.25098655,1.4545888,0.5193849,-1.2546313,-0.1995026,0.48759976,0.12027782,-0.94997454,-0.61585397,-0.14996691,1.4301448,-1.7640847,-0.62372595,-0.7334178,-0.12804559,-0.07620234,-1.1620259,-1.5276865,0.58755594,0.5328958,0.5764161,-0.8937339,-0.2361037
-0.30001014,-0.09403367,-0.28312367,0.46330556,0.08088137,-1.1063712,0.111688465,-1.132891,0.38841444,-0.29734927,-0.71297586,0.5233281,1.2179164,0.36845353,-1.7482431,-0.14887972,0.5141866,0.14452893,-1.2262753,-0.5615387,0.034970567,1.2278306,-1.5864584,-0.6771089,-0.40603626,-0.00782486,-0.24903883,-1.3071487,-1.288724,0.75649726,0.06290946,0.5909286,-0.8696831,-0.31067833
-0.2776505,0.0997147,-0.37331164,0.61046267,0.436329,-0.9531048,-0.08304425,-0.9784956,0.39188907,-0.3819707,-0.94030875,0.6875792,1.1866763,0.39403287,-1.4376707,-0.11143791,0.5574938,0.063191295,-1.4965161,-0.636982,0.14308994,1.2652164,-1.6415935,-0.58964974,-0.3199059,-0.08524529,-0.04284479,-1.4285717,-1.2863104,0.60740757,0.27353406,0.52429646,-0.71015596,-0.056161273
-0.20316471,-0.024696887,-0.36335376,0.3276935,0.16511166,-1.1088266,0.060262892,-0.87900025,0.4874214,-0.37593922,-0.47131217,0.48510233,1.2665179,0.23700413,-1.7809492,0.0431094,0.5084137,0.27689427,-0.8929337,-0.71701854,-0.021356588,1.0831444,-1.7482489,-1.0118966,-0.42018983,-0.071860835,-0.09091582,-1.4319043,-1.5576565,0.5132902,0.41238385,0.52312255,-0.7526882,-0.1886485
-0.39293474,0.12823135,-0.1593851,0.46034855,0.13115239,-1.2666179,0.056979906,-0.92469764,0.5640108,-0.26815227,-0.7209204,0.6253972,1.3670831,0.2992362,-1.6763358,-0.034817375,0.4635874,0.153393,-1.1114883,-0.40900987,0.05147022,1.1662294,-1.5732489,-0.8326093,-0.47853944,-0.060493525,-0.15968902,-1.450253,-1.4001147,0.7271573,0.24026975,0.4588717,-0.6683608,-0.32522866
-0.2876178,0.13634136,-0.10752002,0.4700049,-0.034630775,-1.3910183,0.20108125,-0.72384894,0.4437841,-0.39560297,-0.7076099,0.4824069,1.5456012,0.28962144,-1.786672,-0.1705205,0.32765922,0.20373842,-1.0856886,-0.62023383,0.100926675,1.1836051,-1.6628624,-1.106208,-0.58314025,-0.102111734,0.15396044,-1.3448281,-1.4990731,0.31850883,0.24634595,0.4465706,-0.60287946,-0.09940328
-0.29760313,-0.0477953,-0.051236626,0.29768872,0.35651147,-1.1978076,0.03179742,-0.9276281,0.3953624,-0.42695305,-0.51199573,0.3813393,1.0697135,0.28597564,-1.6153148,-0.1532011,0.33132854,0.28762472,-1.1468456,-0.4777163,-0.24705657,1.2504379,-1.8373191,-1.0708534,-0.41159865,-0.115060836,-0.0020585302,-1.1209371,-1.5730693,0.6501766,0.26758197,0.5043281,-0.6951052,-0.10381536
-0.33797726,0.085051544,-0.12629764,0.45535848,0.16065131,-1.2186954,0.54175353,-1.0681765,0.36759225,-0.13368082,-0.48194218,0.10666375,1.3971021,0.3208318,-1.3514125,0.24929576,0.20163144,-0.019685516,-0.6683496,-0.44862202,-0.065956436,1.0108807,-1.9793135,-1.0690004,-0.087019384,-0.41112208,-0.16588132,-0.9683935,-1.3905613,0.41656786,0.7709846,0.88903373,-0.88140994,-0.3184568
-0.39983243,-0.16660781,-0.08318229,0.3697002,0.28921795,-1.2515559,-0.00076437555,-0.85792416,0.6405465,-0.54438305,-0.74093163,0.5552601,1.0201195,0.34405616,-1.7520239,-0.28274956,0.46629095,0.3704802,-1.2517719,-0.18646334,0.08432171,1.3496407,-1.6123403,-0.9234737,-0.53608114,-0.053558454,0.04883288,-1.4174837,-1.4034992,0.71576244,0.08208738,0.40085664,-0.7073745,-0.06768546
-0.4054346,-0.050128073,-0.6983127,0.42401838,0.3079255,-1.1201756,0.4093623,-0.738902,0.65799034,-0.4829786,-0.7196579,0.38103923,1.0275606,0.6157621,-1.6247916,-0.42370865,0.28846133,0.063581005,-1.0226623,-0.46343288,0.46248823,1.5605807,-1.6155549,-0.7261888,-0.71244586,-0.093105234,0.24781814,-1.5112481,-1.4576907,0.37417337,0.4165756,0.5359189,-0.7507718,-0.22021477
