0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.12042357,-2.119428,0.4370764,-0.39189652,0.97892743,-2.441159,-2.3324687,-2.0495565,-0.29186323,0.9520716,-0.10013967,3.8001046,1.9289134,-0.084453814,1.4098145,-0.4635332,-1.9060513,-0.080260105,-1.6558555,-0.13625652,1.7066556,-0.78210855,-0.03905531,0.23518263,0.21886681,0.6183707,0.20900045,0.044004776,-0.6961856,0.708322,-0.8648717,-0.5439784,-0.51539034,-0.74332494
1.06138,-1.9500413,0.84470123,0.8712364,1.984572,-1.0237575,-0.8756928,-0.9966551,0.13777697,0.36046296,0.70422584,3.008984,1.7395432,-0.20613794,1.9307683,-0.6462804,-1.6167876,-0.07157062,-1.1582221,0.64950687,1.7215297,-0.7843033,1.0150508,-0.47806892,-0.062071208,0.42833397,0.36865065,-0.50933796,-0.566954,-0.29363087,-1.7183503,-0.7068093,-0.18248875,-0.50978136
1.2556883,-1.8519101,0.050677154,0.42794937,1.5552344,-1.5289056,-2.1271539,-1.3672314,-0.49210668,-0.36407813,-1.0755728,3.624815,3.4762237,0.6130143,1.8184186,-0.750838,-1.20728,-0.39615515,-1.2298905,-0.85113716,1.8973135,0.77815604,-1.6101182,-1.3797069,-0.25420472,-0.842056,0.06673931,-0.75892115,0.4796517,0.92218626,-0.98687404,0.64763516,1.2283099,-2.104905
1.3611006,-1.4131297,0.08633491,-0.017262472,0.9849832,-0.83856857,-1.5822407,-1.1756334,0.54171973,0.7774084,0.48084968,3.1768708,0.7631063,0.2589579,1.8848584,-0.8127167,-1.3613255,0.22274514,-1.5638515,0.26808852,2.6048563,-1.8974718,-0.32216114,-0.019044595,0.13427843,1.1767709,0.44488582,0.07967938,-0.34897396,0.45148462,-1.1465886,1.6538877,0.43453133,-0.68452805
0.038668126,-0.44769222,-0.5990965,0.48155352,2.8785582,-0.25099617,-0.31763983,-2.0959847,-0.6172583,1.8959775,-0.22451219,2.7587516,2.6793256,-0.48023307,1.4585748,-0.2504357,-1.0938176,-1.0801855,-1.9909353,1.3486937,3.3502421,-1.5506513,-0.14710855,-0.75335264,0.66244805,-0.218354,0.9571179,0.13421074,-1.1288775,0.057967883,-2.1580586,-0.05134636,-0.6361004,0.21017846
2.1112773,-1.5741053,2.0044444,0.7445111,1.0993075,-0.14412706,-2.1284497,-0.26024684,0.565655,1.3727708,-0.21220657,3.413228,1.597032,1.7171893,1.73474,-0.091823824,-1.589939,-0.048286915,-1.1753216,1.4950048,2.442862,-1.7173966,0.560692,1.1447893,-0.72264695,0.59841514,-0.09859988,0.8628893,0.5193366,0.44146934,-2.6949956,0.69253206,0.03467826,-0.88385415
0.71759665,-1.1258394,1.4567921,-0.023930945,0.8213823,0.11526368,-1.5550785,-0.44461843,0.011328889,2.375698,-0.6002988,2.8172517,1.5464555,0.9578347,0.3211184,-0.7507415,-1.922482,0.08852749,-0.3353353,-0.21233176,1.9806691,-0.45249555,0.44700846,-1.2999569,0.47440913,0.14804699,-0.35818672,-1.3177664,-0.0508869,0.0958414,-1.1016659,0.634705,0.6476038,-1.5027652
1.9677368,-1.1952615,0.49942893,1.2046244,1.1914352,-1.0947968,-1.520068,0.03815769,-0.008265712,2.2036083,-0.46346694,2.9940531,1.16871,0.73956615,0.4367507,0.8861618,-1.6487718,0.11290493,-0.4363513,-1.401079,2.0546842,-0.8164419,-1.4089215,0.56272274,-1.2549591,0.44546527,2.3377507,-1.3459264,0.34685048,0.22891654,0.20483364,0.7686446,0.39518762,-1.0389079
1.8339453,-1.135644,0.8884766,-1.0048931,1.7920041,-0.32965225,-1.7271018,-1.2886473,-0.17104952,2.094739,0.32522628,2.8556051,2.854804,0.19481179,0.8150851,-1.3171263,-1.2669481,-0.3490015,-1.1757562,-0.9622501,1.7934469,-0.6713327,-0.073174655,-1.6280909,1.6319882,-1.5902134,-0.145769,-1.3441657,0.21308607,-0.33458903,-1.5473772,0.5793396,0.9576594,-1.3179821
0.9093288,-2.1581044,0.6526013,-0.46851832,1.0933976,-1.351677,-1.8521346,-0.56971884,-1.1663094,0.5501644,0.27025834,2.6128445,2.9385834,0.15153846,1.9514554,-1.2901899,-0.916147,-0.16659573,-0.23387523,-0.651107,2.459055,-0.22972019,0.45627552,-0.65569013,-0.36289996,0.7201696,2.6220522,0.8161988,1.2543867,1.7740211,-1.7624987,0.71989864,0.00476981,-0.6548089
0.7773726,-0.46849522,2.0028868,-1.3038063,0.20640859,-0.69110423,-1.1112046,-1.360251,-1.2554114,1.5500073,1.0264077,2.681826,1.0192086,-0.33078575,0.09260785,-0.49246326,-1.5398508,0.7999537,-0.888111,-1.4822861,1.897452,-1.258948,0.068737,-2.1031344,-0.77946854,-0.022533752,1.7468531,0.28646907,0.2646753,-0.68787515,-2.030332,0.13164183,-1.0422835,0.52749366
1.4624232,-1.1572258,1.1580372,0.49694386,1.5828665,-0.04981974,-2.483526,-0.6650445,0.05745347,2.0768316,1.0469716,2.8806586,1.1970656,1.3174022,0.20413849,-2.0497575,-2.7181206,0.2790886,-0.06278835,-0.2914366,1.9907538,-1.149348,1.2100137,-0.38417745,0.11500542,0.8156057,0.34459826,0.26606047,-0.44494784,1.0506334,-0.20044856,-0.48239642,-0.22472022,-0.46302602
1.5652887,-1.9990909,0.90504354,0.25196904,0.49413335,-0.9860948,-1.7321712,-1.4387052,-0.11586328,0.13185538,-0.23276171,3.9695587,3.9480844,0.42135954,2.3041515,-1.0185117,-0.09822072,-1.3239088,0.14322908,-0.72072196,2.7374048,-0.37268305,1.1064038,0.9849109,0.9353522,0.3442994,0.37876436,-0.55800414,1.0897386,0.5473554,-1.4829293,0.36532366,0.005339381,-1.0719467
0.5624443,-1.7170767,0.06562434,-0.16350485,1.496984,-0.38838983,-1.0329669,-0.50596374,-0.44461995,1.3060004,-0.539872,3.3983388,2.509497,0.3840884,1.4916804,-0.12899001,-2.3382652,0.71256155,-0.805093,-0.20489043,1.7449771,-1.1234372,0.7130096,1.083343,-0.37380856,0.9274667,0.30297455,-0.6237541,0.1825655,0.6399213,-1.0296248,1.738832,0.8813346,-0.8556802
0.35930732,-0.87704456,-0.7285288,-1.4754947,0.18884505,-1.9785972,-0.75210136,-2.2682834,-1.0239083,2.6211002,0.7246948,2.5982146,3.6438792,0.0045190416,0.40606636,0.22273806,-0.6791909,0.55377215,-1.4504299,-1.6283277,0.35176292,-1.1986533,-0.6815051,-1.1137674,0.6297975,0.8388314,1.5921452,0.5400041,1.6281577,-0.53202975,-2.6762514,0.29296175,-1.5030153,0.7465925
2.6709752,-0.14615086,1.4617206,0.74885476,0.8809983,-0.54167926,-3.5416093,-0.80403376,0.14402476,0.81944907,-1.3899517,2.5090787,2.6706243,-0.22181776,1.8636807,-1.0127652,-0.39588875,-1.4472163,-1.9539119,0.7568366,2.9035423,-0.18160304,-0.07605065,-1.2607023,0.78772366,1.0399221,0.1568518,-0.03393683,0.5015865,-1.1253443,-1.1977494,1.324695,-1.0920863,-0.3481453
0.87904483,-1.9602044,1.1033449,-0.6020888,1.5168241,-0.37085927,-1.1609474,-0.34372246,-0.20571141,2.3503284,0.47219732,4.0403314,1.2754686,0.9103741,1.4947451,-0.997604,-1.9640989,0.9978312,-0.7722823,-1.3674159,2.4396117,-0.30886024,0.47221598,-1.0235449,-0.5108648,-0.86990404,1.1055801,0.08671685,0.08715711,-0.5401135,-0.6363959,0.79871094,-0.011926104,-0.7666253
1.7587769,-1.0855093,1.0232412,0.14942686,0.19430168,-1.4034814,-1.6772745,-1.7417247,0.09101174,1.3125955,-0.85205495,3.0914018,0.7662565,0.46894422,2.075659,-0.8664257,-2.6706734,0.42177215,-0.23830114,-0.4896376,1.798052,-1.5829432,-0.4059121,-0.18556929,-0.49624717,-0.5756546,1.374309,-1.3562179,-0.36406758,0.19926172,-1.5804318,0.21867794,1.0940845,-1.155873
1.4223408,-0.5283436,1.046146,-1.5513421,2.0448236,-1.5828408,-2.0061145,-1.9608701,0.58873403,0.18573184,-0.9108669,2.2851357,1.4673061,0.37383878,1.0145063,-1.8036348,-2.2768884,-0.07846103,-1.2799007,-1.5348117,1.812896,-1.0417057,0.21846099,-1.3663286,0.9634835,-1.175452,0.5857653,0.03023922,-0.5607873,0.2965423,-1.8589479,0.29134727,0.011337253,-0.54609823
1.5450716,-0.7339075,0.23426285,0.3154468,0.50548965,-0.77240926,-2.5916255,-1.264301,0.70346266,2.005552,-0.16474228,1.8246869,1.7453543,0.5435293,1.0313787,-0.12818485,-1.5159305,1.3290348,-0.8581096,-1.7471168,1.8652292,-1.5077496,-0.60999167,0.5802954,-0.523655,0.24567313,1.8643714,-0.74157304,1.0566142,-0.40097824,0.20829493,0.42412558,0.5005719,-0.8049176
0.1306453,-1.7156221,-0.21031162,-0.61874264,0.92485374,-0.1761114,-2.2645662,-1.3517987,-1.9643781,0.77445406,0.97170615,4.195716,1.9061749,-0.107711166,1.9033545,-1.0817286,-0.49872532,-0.99317724,-0.26668912,-1.0966489,1.812815,-0.75886244,0.40075734,-1.3375531,0.08164375,1.1541277,0.25404826,-0.13355768,0.443567,1.9228344,-1.2161151,1.0866481,0.7059602,-1.6759536
0.33679426,-2.0934243,0.19596355,-1.1901559,0.46856642,-1.5574743,-3.0025926,-0.7621169,0.27369776,1.7596998,-0.78789234,2.6776977,2.087983,1.0513325,1.5877799,0.07786161,-2.4777894,1.1136775,-1.4043136,-0.99535334,0.10961873,-1.167635,-0.4919238,2.0750878,0.07621282,-0.279886,0.1978815,0.38236064,0.21082789,0.320053,-1.0869818,0.83325636,0.6668898,0.19501498
1.4899869,-0.4942877,1.1382866,1.5533342,-0.16373551,-1.2476456,-3.1083353,-0.55299294,0.5616673,2.0825014,-0.30969232,2.5852437,1.6563975,0.057516366,1.6118746,-1.2317461,-1.1133547,-0.42148706,-0.49490505,-0.28590816,2.1342793,-0.18920259,0.5532025,-0.9262327,0.39871782,0.415402,-0.019277884,1.7206249,0.9766619,0.5732265,-1.9809732,3.5548146,-1.4493883,-0.40576133
1.1922991,-0.92362744,1.9274186,0.6142253,1.0898869,-0.4790788,-4.527287,0.7237136,1.3804929,2.5118368,-0.92597544,1.9326309,0.68036014,0.55151105,0.6550959,-0.13579263,-1.7734008,-0.7434863,-0.040453464,0.24335615,0.7894266,-1.6608127,-0.07879999,-0.57141435,-2.0100174,0.96110904,0.7888524,1.5202718,0.8563073,1.9032146,-1.4204857,1.1680219,-0.41146466,-0.5743207
0.41052708,-0.15311976,-0.37429166,0.5314932,0.93332964,-0.8744574,-2.846796,-1.2506611,-2.955793,1.2437853,0.20441563,1.8709215,1.3017428,0.22703974,1.0682299,-0.74857926,-2.4917345,0.6450293,-3.074819,-0.98619646,1.8274125,-2.0579982,-0.53590035,-1.42394,0.4022351,0.49264735,1.4420652,1.2080916,-0.6288009,-0.7773497,-0.9840962,0.5333792,0.13902047,-0.055981528
1.8793775,-0.5332972,1.3857226,1.1262193,0.34060803,-0.6667092,-2.2133558,-0.72889584,-0.5413975,1.0096478,-0.6517566,2.1299841,1.4472063,0.89803445,0.017408507,-0.9090574,-1.6618619,0.40048015,-0.9506576,-0.29795757,1.7957618,-1.5399644,-0.53093857,1.02006,-0.33193982,1.1156174,0.38629076,-0.55361885,0.801673,0.08966663,0.395451,-0.34955785,-0.90828943,-1.7834712
-0.048611782,-0.10743807,0.73194396,-0.114676535,0.8701341,-0.15254943,-2.93741,-1.06648,-0.45218277,1.2753999,1.4064453,2.8874826,1.8700333,0.7444332,2.0844245,-1.0391971,-2.619827,0.21805975,-0.22933584,0.295978,1.3141445,-2.466929,0.5729658,1.2236814,1.0974528,1.3947122,-0.16407849,1.4971108,-0.62078595,1.4698082,-2.1720212,0.9398019,-1.2372829,0.6590346
0.16216756,-0.78394765,1.3324777,-0.16214864,-0.02786638,-0.41378742,-3.7171736,-1.1597383,-0.85492045,1.4468216,0.6478109,2.2402136,2.3466468,0.5470333,2.3499987,-0.6808793,-0.39926314,-0.32481593,-0.5236293,-0.43046468,2.1647797,-0.43249393,-0.56877565,-0.549601,0.7619943,0.9606127,1.1706789,0.6218074,1.6331356,-0.31550992,-1.6073649,0.96053284,-1.1173676,-0.69443786
1.5057167,-0.7551975,2.3485477,0.6358069,0.1063486,0.47472897,-2.8911283,-1.6243109,-1.3580552,1.0309937,-0.6175653,3.671819,3.8099372,-0.6174449,1.3719476,-0.7931712,-0.7693553,-1.159562,-1.026854,0.11343328,1.6811305,0.6273816,-0.020338606,-0.17852038,0.6509188,0.024882086,-0.90228015,-0.5297556,1.3886265,0.71777433,-2.1005845,-0.45571584,-0.4452726,-2.1822503
0.7155591,-0.6482518,-0.110814385,-0.21704833,1.6118566,-0.6129331,-1.9944354,-1.1940256,0.44115886,1.2876394,0.3971594,4.356409,1.4141852,0.5154356,0.8842723,-1.0227123,-2.1671178,0.06780659,-0.7500842,0.11978132,2.0223434,-1.1250072,0.4492702,0.06582685,-1.7201172,0.15667798,0.79616725,-0.87463635,1.2115971,0.50735295,-1.2604357,0.7130632,0.8275133,-0.54518455
0.87917626,0.51780826,1.26643,-0.8474129,0.31579635,-1.2934986,-3.3452995,-0.6218936,1.1038188,1.966539,-0.4085805,1.4502829,0.9119557,0.4639529,-0.4768615,-2.394939,-1.9008093,1.6760335,-0.6829355,-0.62896854,2.4060228,-1.232005,-1.094779,-2.1025949,0.04404919,-0.3638247,-0.43166602,0.45150042,0.77560824,-1.3533366,-0.6758587,0.8818272,-0.9743025,-0.2570525
1.1000471,-0.6151667,1.4629893,-0.73516995,-0.93919206,-2.4118297,-2.6250002,0.52487195,1.5007,0.8908085,-0.77495074,1.6408749,0.14612415,1.366579,-1.7232128,-0.7546318,-1.5311799,2.0208714,0.5251408,-1.5207878,1.4330592,-1.2470226,-1.784705,-1.5178219,-0.0105990665,0.5809135,2.025047,-0.69362813,0.93472415,-0.4155617,-0.6153974,1.1313882,-0.22159421,0.10135719
0.62465435,-0.077850975,0.35704935,0.21927369,0.4327026,-3.150407,-2.138416,-1.633453,0.6746819,1.3663949,-0.50091463,1.6526226,1.6414818,-0.05242532,0.515988,-0.056702983,-2.1457477,2.035398,-0.3697251,0.32259703,0.5805884,-0.34794515,-2.0700676,-0.48090664,0.64508355,0.6233621,0.42558303,-1.8032842,-0.92957044,0.71241015,0.03594799,0.6766144,2.8440747,-0.61388874
0.68730086,-0.4882994,0.17887843,0.1134734,1.0135087,-1.901027,-2.0469909,-1.1627653,0.32316604,1.7850293,-0.9189728,1.420927,0.44035533,-0.481791,-0.7905164,-1.966733,-3.1007857,1.527098,-0.091027945,-1.3700505,2.0132906,-0.30426332,-0.7912027,-1.7567139,0.1716279,0.07057087,0.83225113,0.18629253,0.020930592,0.07746037,-1.9551008,0.036485974,1.0529816,-0.09938748
0.6075937,-1.165111,0.8435814,-0.72604287,0.47149786,-1.6989093,-1.3537701,-1.460922,0.45333308,1.1454203,-0.29212353,1.5116026,1.4478772,0.12959132,-0.49883914,-1.7919416,-1.3580446,1.8498172,0.97497904,0.42465422,1.6215199,-1.7916331,-0.51238525,-0.91703683,-0.20434842,1.6451586,2.4768126,0.11401942,2.6891482,-1.9916192,-1.8172059,-0.28575888,1.0496894,-2.4534342
